year,week,id,team,opp,q1,q2,q3,final,spread,OU,imp_tot,ABCD,AABC,AABB,AAAB,AAAA
1979,3,197909160atl,atl,den,0,10,10,17,3.0,32.0,14.5,false,false,false,true,false
1979,3,197909160cin,nwe,cin,0,7,14,20,-6.0,41.0,23.5,false,true,false,false,false
1979,3,197909160cin,cin,nwe,0,0,7,14,6.0,41.0,17.5,false,true,false,false,false
1979,3,197909160cle,clt,cle,10,10,10,10,7.0,42.0,17.5,false,false,false,false,true
1979,3,197909160cle,cle,clt,0,3,10,13,-7.0,42.0,24.5,false,false,true,false,false
1979,3,197909160crd,pit,crd,7,7,7,24,-6.0,40.0,23.0,false,false,false,true,false
1979,3,197909160crd,crd,pit,9,15,21,21,6.0,40.0,17.0,false,true,false,false,false
1979,3,197909160dal,chi,dal,7,7,13,20,9.0,37.0,14.0,false,true,false,false,false
1979,3,197909160dal,dal,chi,7,10,17,24,-9.0,37.0,23.0,false,true,false,false,false
1979,3,197909160gnb,tam,gnb,0,7,21,21,2.0,36.0,17.0,false,true,false,false,false
1979,3,197909160gnb,gnb,tam,3,3,3,10,-2.0,36.0,19.0,false,false,false,true,false
1979,3,197909160min,mia,min,0,7,7,27,-7.0,37.0,22.0,false,false,false,true,false
1979,3,197909160min,min,mia,3,9,12,12,7.0,37.0,15.0,false,true,false,false,false
1979,3,197909160nor,phi,nor,3,13,16,26,3.0,42.0,19.5,false,false,true,false,false
1979,3,197909160nor,nor,phi,0,7,7,14,-3.0,42.0,22.5,false,true,false,false,false
1979,3,197909160nyj,det,nyj,0,7,7,10,6.0,42.0,18.0,false,false,true,false,false
1979,3,197909160nyj,nyj,det,0,14,17,31,-6.0,42.0,24.0,true,false,false,false,false
1979,3,197909160oti,kan,oti,0,6,6,6,5.0,37.0,16.0,false,false,false,true,false
1979,3,197909160oti,oti,kan,7,17,17,20,-5.0,37.0,21.0,false,false,false,true,false
1979,3,197909160ram,sfo,ram,10,10,10,24,13.0,39.0,13.0,false,false,false,true,false
1979,3,197909160ram,ram,sfo,0,14,21,27,-13.0,39.0,26.0,true,false,false,false,false
1979,3,197909160sdg,buf,sdg,6,12,19,19,9.0,44.0,17.5,false,true,false,false,false
1979,3,197909160sdg,sdg,buf,7,13,20,27,-9.0,44.0,26.5,false,true,false,false,false
1979,3,197909160sea,rai,sea,0,0,7,10,3.0,44.0,20.5,false,false,false,true,false
1979,3,197909160sea,sea,rai,7,10,20,27,-3.0,44.0,23.5,false,false,true,false,false
1979,3,197909170was,nyg,was,0,0,0,0,6.0,37.0,15.5,false,false,false,false,true
1979,3,197909170was,was,nyg,3,17,24,27,-6.0,37.0,21.5,false,true,false,false,false
1979,4,197909230buf,nyj,buf,3,24,24,31,3.0,42.0,19.5,false,true,false,false,false
1979,4,197909230buf,buf,nyj,6,19,40,46,-3.0,42.0,22.5,false,true,false,false,false
1979,4,197909230cin,oti,cin,0,10,27,30,-3.0,37.0,20.0,false,false,false,true,false
1979,4,197909230cin,cin,oti,14,24,24,27,3.0,37.0,17.0,false,false,false,true,false
1979,4,197909230crd,was,crd,14,14,14,17,3.0,39.0,18.0,false,false,false,true,false
1979,4,197909230crd,crd,was,0,0,7,7,-3.0,39.0,21.0,false,false,true,false,false
1979,4,197909230den,sea,den,10,20,34,34,6.0,37.0,15.5,false,false,true,false,false
1979,4,197909230den,den,sea,0,10,31,37,-6.0,37.0,21.5,false,true,false,false,false
1979,4,197909230det,atl,det,0,3,16,23,-6.0,37.0,21.5,false,true,false,false,false
1979,4,197909230det,det,atl,7,10,10,24,6.0,37.0,15.5,false,true,false,false,false
1979,4,197909230kan,rai,kan,0,0,0,7,-3.0,41.0,22.0,false,false,false,true,false
1979,4,197909230kan,kan,rai,14,14,21,35,3.0,41.0,19.0,false,true,false,false,false
1979,4,197909230mia,chi,mia,0,6,9,16,6.0,37.0,15.5,false,true,false,false,false
1979,4,197909230mia,mia,chi,3,3,17,31,-6.0,37.0,21.5,false,true,false,false,false
1979,4,197909230min,gnb,min,0,14,14,21,1.0,34.0,16.5,false,true,false,false,false
1979,4,197909230min,min,gnb,7,7,14,27,-1.0,34.0,17.5,false,false,false,true,false
1979,4,197909230nwe,sdg,nwe,0,14,14,21,3.0,44.0,20.5,false,true,false,false,false
1979,4,197909230nwe,nwe,sdg,17,20,20,27,-3.0,44.0,23.5,false,false,true,false,false
1979,4,197909230nyg,phi,nyg,7,14,17,17,-5.0,37.0,21.0,false,false,false,true,false
1979,4,197909230nyg,nyg,phi,3,6,6,13,5.0,37.0,16.0,false,false,true,false,false
1979,4,197909230pit,clt,pit,10,10,13,13,14.0,38.0,12.0,false,false,true,false,false
1979,4,197909230pit,pit,clt,7,10,10,17,-14.0,38.0,26.0,false,false,true,false,false
1979,4,197909230sfo,nor,sfo,0,13,27,30,0.0,42.0,21.0,false,true,false,false,false
1979,4,197909230sfo,sfo,nor,7,14,14,21,0.0,42.0,21.0,false,true,false,false,false
1979,4,197909230tam,ram,tam,6,6,6,6,-3.0,35.0,19.0,false,false,false,false,true
1979,4,197909230tam,tam,ram,0,21,21,21,3.0,35.0,16.0,false,false,false,true,false
1979,4,197909240cle,dal,cle,7,7,7,7,-3.0,40.0,21.5,false,false,false,false,true
1979,4,197909240cle,cle,dal,20,20,20,26,3.0,40.0,18.5,false,false,false,true,false
1979,5,197909300atl,was,atl,3,13,16,16,3.0,37.0,17.0,false,false,true,false,false
1979,5,197909300atl,atl,was,7,7,7,7,-3.0,37.0,20.0,false,false,false,false,true
1979,5,197909300chi,tam,chi,0,10,10,17,1.0,34.0,16.5,false,false,false,true,false
1979,5,197909300chi,chi,tam,0,3,6,13,-1.0,34.0,17.5,false,true,false,false,false
1979,5,197909300clt,buf,clt,0,14,31,31,2.0,42.0,20.0,false,true,false,false,false
1979,5,197909300clt,clt,buf,3,6,6,13,-2.0,42.0,22.0,false,false,true,false,false
